"","Block_Nummer","Block_Einwohnerzahl","Wahlbezirk_Nummer","Wahlbezirk_Bloeckezahl","Wahlbezirk_Einwohnerzahl","Wahlbezirk_Uebervoelkert","Block_Nachbar_1","Block_Nachbar_2","Block_Nachbar_3","Block_Nachbar_4","Block_Nachbar_5","Block_Nachbar_6","Block_Nachbar_7","Block_Nachbar_8","Block_Nachbar_9","Block_Nachbar_10","Block_Nachbar_11","Block_Nachbar_12","Block_Nachbar_13","Block_Nachbar_1_Wahlbezirk","Block_Nachbar_2_Wahlbezirk","Block_Nachbar_3_Wahlbezirk","Block_Nachbar_4_Wahlbezirk","Block_Nachbar_5_Wahlbezirk","Block_Nachbar_6_Wahlbezirk","Block_Nachbar_7_Wahlbezirk","Block_Nachbar_8_Wahlbezirk","Block_Nachbar_9_Wahlbezirk","Block_Nachbar_10_Wahlbezirk","Block_Nachbar_11_Wahlbezirk","Block_Nachbar_12_Wahlbezirk","Block_Nachbar_13_Wahlbezirk","Optimized_Wahlbezirk_1","Optimized_Wahlbezirk_2","Optimized_Wahlbezirk_3","Optimized_Wahlbezirk_4","Optimized_Wahlbezirk_5","Optimized_Wahlbezirk_6"
"256","061233",137,"1424",9,2373,0,"061228","061229","061230","061234","061245","061247","061248","061250",NA,NA,NA,NA,NA,"1424","1424","1424","1424","1424","1428","1428","1428",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","061234",222,"1424",9,2373,0,"061229","061230","061233","061235","061248","061250",NA,NA,NA,NA,NA,NA,NA,"1424","1424","1424","1424","1428","1428",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","061235",323,"1424",9,2373,0,"061230","061231","061234","061236","061250","061251","061252",NA,NA,NA,NA,NA,NA,"1424","1426","1424","1426","1428","1428","1426",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","061236",352,"1426",9,2289,0,"061231","061232","061235","061237","061251","061252","061253","061256",NA,NA,NA,NA,NA,"1426","1426","1424","1426","1428","1426","1426","1426",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","061237",307,"1426",9,2289,0,"061231","061232","061236","061252","061256","061257","061259",NA,NA,NA,NA,NA,NA,"1426","1426","1426","1426","1426","1426","1425",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261","061239",299,"1443",5,2061,0,"060240","060265","061261","061262",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1420","1420","1443","1443",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","061245",414,"1424",9,2373,0,"061233","061246","061247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1424","1424","1428",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","061246",342,"1424",9,2373,0,"061245","061247","061269","061270",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1424","1428","1424","1439",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","061247",265,"1428",6,2224,0,"061233","061245","061246","061248","061249","061270","061271",NA,NA,NA,NA,NA,NA,"1424","1424","1424","1428","1428","1439","1428",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","061248",285,"1428",6,2224,0,"061233","061234","061247","061249","061250","061270","061271",NA,NA,NA,NA,NA,NA,"1424","1424","1428","1428","1428","1439","1428",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","061249",366,"1428",6,2224,0,"061247","061248","061250","061270","061271",NA,NA,NA,NA,NA,NA,NA,NA,"1428","1428","1428","1439","1428",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267","061250",435,"1428",6,2224,0,"061233","061234","061235","061248","061249","061251","061253","061254","061271","061272",NA,NA,NA,"1424","1424","1424","1428","1428","1428","1426","1426","1428","1425",NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","061251",228,"1428",6,2224,0,"061235","061236","061250","061252","061253","061254",NA,NA,NA,NA,NA,NA,NA,"1424","1426","1428","1426","1426","1426",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269","061252",239,"1426",9,2289,0,"061231","061235","061236","061237","061251","061253","061254","061256",NA,NA,NA,NA,NA,"1426","1424","1426","1426","1428","1426","1426","1426",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270","061253",276,"1426",9,2289,0,"061236","061250","061251","061252","061254","061256","061257","061272",NA,NA,NA,NA,NA,"1426","1428","1428","1426","1426","1426","1426","1425",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271","061254",153,"1426",9,2289,0,"061250","061251","061252","061253","061257","061272",NA,NA,NA,NA,NA,NA,NA,"1428","1428","1426","1426","1426","1425",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272","061256",105,"1426",9,2289,0,"061232","061236","061237","061252","061253","061257","061259",NA,NA,NA,NA,NA,NA,"1426","1426","1426","1426","1426","1426","1425",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","061257",447,"1426",9,2289,0,"061237","061253","061254","061256","061259","061260","061272","061273",NA,NA,NA,NA,NA,"1426","1426","1426","1426","1425","1425","1425","1425",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","061259",362,"1425",6,2279,0,"061237","061256","061257","061260","061261","061263",NA,NA,NA,NA,NA,NA,NA,"1426","1426","1426","1425","1443","1443",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","061260",276,"1425",6,2279,0,"061257","061259","061263","061272","061273",NA,NA,NA,NA,NA,NA,NA,NA,"1426","1425","1443","1425","1425",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","061261",295,"1443",5,2061,0,"061239","061259","061262","061263","061264",NA,NA,NA,NA,NA,NA,NA,NA,"1443","1425","1443","1443","1443",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277","061315",187,"1444",7,2051,0,"061313","061314","061316","061317","061318",NA,NA,NA,NA,NA,NA,NA,NA,"1444","1444","1444","1429","1429",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278","061262",411,"1443",5,2061,0,"060240","060265","060283","061239","061261","061263","061264",NA,NA,NA,NA,NA,NA,"1420","1420","1432","1443","1443","1443","1443",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279","061263",633,"1443",5,2061,0,"060282","061259","061260","061261","061262","061264","061273","061279","061281",NA,NA,NA,NA,"1432","1425","1425","1443","1443","1443","1425","1425","1432",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280","061264",423,"1443",5,2061,0,"060282","060283","061261","061262","061263",NA,NA,NA,NA,NA,NA,NA,NA,"1432","1432","1443","1443","1443",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281","061269",163,"1424",9,2373,0,"061246","061270","061274",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1424","1439","1439",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282","061270",429,"1439",6,2113,0,"061246","061247","061248","061249","061269","061271","061274","061275","061276",NA,NA,NA,NA,"1424","1428","1428","1428","1424","1428","1439","1439","1439",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283","061271",645,"1428",6,2224,0,"061247","061248","061249","061250","061270","061275","061276",NA,NA,NA,NA,NA,NA,"1428","1428","1428","1428","1439","1439","1439",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284","061272",443,"1425",6,2279,0,"061250","061253","061254","061257","061260","061273","061278","061279",NA,NA,NA,NA,NA,"1428","1426","1426","1426","1425","1425","1422","1425",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285","061273",345,"1425",6,2279,0,"061257","061260","061263","061272","061278","061279",NA,NA,NA,NA,NA,NA,NA,"1426","1425","1443","1425","1422","1425",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286","061274",174,"1439",6,2113,0,"061269","061270","061275","061286",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1424","1439","1439","1439",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287","061275",386,"1439",6,2113,0,"061270","061271","061274","061276","061286","061288","061290",NA,NA,NA,NA,NA,NA,"1439","1428","1439","1439","1439","1439","1422",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288","061276",514,"1439",6,2113,0,"061270","061271","061275","061288","061290","061291","061292",NA,NA,NA,NA,NA,NA,"1439","1428","1439","1439","1422","1422","1422",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"289","061278",339,"1422",6,2234,0,"061272","061273","061279","061293","061294","061296",NA,NA,NA,NA,NA,NA,NA,"1425","1425","1425","1422","1422","1425",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"290","061279",286,"1425",6,2279,0,"061263","061272","061273","061278","061281","061294","061296","061297","061298",NA,NA,NA,NA,"1443","1425","1425","1422","1432","1422","1425","1435","1435",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"291","061281",251,"1432",6,2108,0,"060282","060299","061263","061279","061297","061298",NA,NA,NA,NA,NA,NA,NA,"1432","1432","1443","1425","1435","1435",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292","061286",318,"1439",6,2113,0,"061274","061275","061303","061304",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1439","1439","1444","1444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293","061288",292,"1439",6,2113,0,"061275","061276","061290","061291","061304",NA,NA,NA,NA,NA,NA,NA,NA,"1439","1439","1422","1422","1444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"294","061290",131,"1422",6,2234,0,"061275","061276","061288","061291","061304",NA,NA,NA,NA,NA,NA,NA,NA,"1439","1439","1439","1422","1444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"295","061314",217,"1444",7,2051,0,"061313","061315","061303","061304","061316",NA,NA,NA,NA,NA,NA,NA,NA,"1444","1444","1444","1444","1444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"296","061291",436,"1422",6,2234,0,"061276","061288","061290","061292","061304","061305",NA,NA,NA,NA,NA,NA,NA,"1439","1439","1422","1422","1444","1444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297","061292",445,"1422",6,2234,0,"061276","061291","061293","061304","061305","061307","061308",NA,NA,NA,NA,NA,NA,"1439","1422","1422","1444","1444","1429","1437",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"298","061293",502,"1422",6,2234,0,"061278","061292","061294","061296","061307","061308","061309",NA,NA,NA,NA,NA,NA,"1422","1422","1422","1425","1429","1437","1437",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"299","061294",381,"1422",6,2234,0,"061278","061279","061293","061296","061309",NA,NA,NA,NA,NA,NA,NA,NA,"1422","1425","1422","1425","1437",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300","061296",567,"1425",6,2279,0,"061278","061279","061293","061294","061297","061298","061309","061601",NA,NA,NA,NA,NA,"1422","1425","1422","1422","1435","1435","1437","1435",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"301","061297",315,"1435",6,2047,0,"061279","061281","061296","061298","061310","061311","061601",NA,NA,NA,NA,NA,NA,"1425","1432","1425","1435","1435","1435","1435",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302","061298",575,"1435",6,2047,0,"060282","060299","060312","061279","061281","061296","061297","061310","061311",NA,NA,NA,NA,"1432","1432","1435","1425","1432","1425","1435","1435","1435",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"303","061303",375,"1444",7,2051,0,"061313","061286","061314","061304",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1444","1439","1444","1444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"304","061304",257,"1444",7,2051,0,"061313","061286","061288","061290","061314","061291","061292","061303","061305","061316",NA,NA,NA,"1444","1439","1439","1422","1444","1422","1422","1444","1444","1444",NA,NA,NA,NA,NA,NA,NA,NA,NA
"305","061305",514,"1444",7,2051,0,"061291","061292","061304","061306","061307","061316","061318",NA,NA,NA,NA,NA,NA,"1422","1422","1444","1429","1429","1444","1429",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"306","061306",260,"1429",8,2211,0,"061305","061307","061316","061318","061319","061321",NA,NA,NA,NA,NA,NA,NA,"1444","1429","1444","1429","1429","1429",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"307","061307",437,"1429",8,2211,0,"061292","061293","061305","061306","061308","061319","061321",NA,NA,NA,NA,NA,NA,"1422","1422","1444","1429","1437","1429","1429",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"308","061308",565,"1437",3,2111,0,"061292","061293","061307","061309","061322","061325","061601",NA,NA,NA,NA,NA,NA,"1422","1422","1429","1437","1429","1437","1435",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"309","061309",683,"1437",3,2111,0,"061293","061294","061296","061308","061325","061601",NA,NA,NA,NA,NA,NA,NA,"1422","1422","1425","1437","1437","1435",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"310","061310",233,"1435",6,2047,0,"061297","061298","061311","061325","061601",NA,NA,NA,NA,NA,NA,NA,NA,"1435","1435","1435","1437","1435",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"311","061311",383,"1435",6,2047,0,"060299","060312","061297","061298","061310","061325","061601",NA,NA,NA,NA,NA,NA,"1432","1435","1435","1435","1435","1437","1435",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"312","061316",266,"1444",7,2051,0,"061315","061314","061304","061305","061306","061317","061318",NA,NA,NA,NA,NA,NA,"1444","1444","1444","1444","1429","1429","1429",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"313","061317",440,"1429",8,2211,0,"061313","061315","061316","061318","061319","061320",NA,NA,NA,NA,NA,NA,NA,"1444","1444","1444","1429","1429","1429",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"314","061318",395,"1429",8,2211,0,"061315","061305","061306","061316","061317","061319","061320",NA,NA,NA,NA,NA,NA,"1444","1444","1429","1444","1429","1429","1429",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"315","061319",162,"1429",8,2211,0,"061306","061307","061317","061318","061320","061321","061322",NA,NA,NA,NA,NA,NA,"1429","1429","1429","1429","1429","1429","1429",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"316","061320",148,"1429",8,2211,0,"061317","061318","061319","061321","061322",NA,NA,NA,NA,NA,NA,NA,NA,"1429","1429","1429","1429","1429",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317","061321",205,"1429",8,2211,0,"061306","061307","061319","061320","061322",NA,NA,NA,NA,NA,NA,NA,NA,"1429","1429","1429","1429","1429",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"318","061322",164,"1429",8,2211,0,"061308","061319","061320","061321",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1437","1429","1429","1429",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"319","061325",863,"1437",3,2111,0,"060312","061308","061309","061310","061311","061601",NA,NA,NA,NA,NA,NA,NA,"1435","1437","1437","1435","1435","1435",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"320","061601",340,"1435",6,2047,0,"061296","061297","061308","061309","061310","061311","061325",NA,NA,NA,NA,NA,NA,"1425","1435","1437","1437","1435","1435","1437",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"321","068184",564,"1504",9,2411,0,"068179","068182","068183",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1504","1504","1504",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"322","074019",35,"1414",24,2660,1,"074020","074017","074018","074040","074041","074042","074043",NA,NA,NA,NA,NA,NA,"1414","1414","1414","1414","1414","1414","1414",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"323","068002",708,"1472",5,2402,0,"058907","068003","068007","068008",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1449","1486","1472","1486",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"324","068003",266,"1486",9,2098,0,"068002","068004","068007","068008","068009","068010",NA,NA,NA,NA,NA,NA,NA,"1472","1486","1472","1486","1486","1486",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"325","068004",299,"1486",9,2098,0,"068003","068005","068010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1486","1486","1486",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"326","068005",312,"1486",9,2098,0,"068004","068010","068011","068012","068013",NA,NA,NA,NA,NA,NA,NA,NA,"1486","1486","1486","1448","1448",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"327","068007",1002,"1472",5,2402,0,"068002","068003","068008","068611","068612",NA,NA,NA,NA,NA,NA,NA,NA,"1472","1486","1486","1447","1472",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"328","068008",255,"1486",9,2098,0,"068002","068003","068007","068009","068010","068016",NA,NA,NA,NA,NA,NA,NA,"1472","1486","1472","1486","1486","1486",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"329","068098",380,"1480",6,2165,0,"068099","068092","068093","068094","068097","068102","068103","068104",NA,NA,NA,NA,NA,"1480","1458","1480","1480","1468","1468","1490","1490",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"330","068009",157,"1486",9,2098,0,"068003","068008","068010","068011","068016",NA,NA,NA,NA,NA,NA,NA,NA,"1486","1486","1486","1486","1486",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"331","068010",292,"1486",9,2098,0,"068003","068004","068005","068008","068009","068011","068012",NA,NA,NA,NA,NA,NA,"1486","1486","1486","1486","1486","1486","1448",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"332","068011",218,"1486",9,2098,0,"068005","068009","068010","068012","068019",NA,NA,NA,NA,NA,NA,NA,NA,"1486","1486","1486","1448","1448",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"333","068012",590,"1448",9,2497,0,"068005","068010","068011","068013","068019",NA,NA,NA,NA,NA,NA,NA,NA,"1486","1486","1486","1448","1448",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"334","068013",97,"1448",9,2497,0,"068005","068012","068019","069601",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1486","1448","1448","1448",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"335","068016",233,"1486",9,2098,0,"068008","068009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1486","1486",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"336","068019",298,"1448",9,2497,0,"068011","068012","068013","068025","068026","068027",NA,NA,NA,NA,NA,NA,NA,"1486","1448","1448","1494","1448","1448",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"337","068021",38,"1472",5,2402,0,"068022","068023","068032",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1486","1472","1471",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"338","068022",66,"1486",9,2098,0,"068021","068023","068024","068032",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1472","1472","1494","1471",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"339","068023",21,"1472",5,2402,0,"068021","068022","068031","068032",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1472","1486","1471","1471",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"340","068024",159,"1494",12,2326,0,"068022","068025","068032","068038","068039",NA,NA,NA,NA,NA,NA,NA,NA,"1486","1494","1471","1494","1494",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"341","068025",111,"1494",12,2326,0,"068019","068024","068026","068038","068039","068040",NA,NA,NA,NA,NA,NA,NA,"1448","1494","1448","1494","1494","1448",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"342","068026",135,"1448",9,2497,0,"068019","068025","068027","068039","068040","068041",NA,NA,NA,NA,NA,NA,NA,"1448","1494","1448","1494","1448","1448",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"343","068027",281,"1448",9,2497,0,"068019","068026","068040","068041","069601",NA,NA,NA,NA,NA,NA,NA,NA,"1448","1448","1448","1448","1448",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"344","068028",91,"1447",6,1945,0,"058908","068611","068617","068625",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1447","1447","1454","1447",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"345","068030",15,"1471",13,2351,0,"068031","068033","068034","068612","068625",NA,NA,NA,NA,NA,NA,NA,NA,"1471","1471","1471","1472","1447",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"346","068031",3,"1471",13,2351,0,"068023","068030","068032","068034","068035","068612",NA,NA,NA,NA,NA,NA,NA,"1472","1471","1471","1471","1471","1472",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"347","068032",85,"1471",13,2351,0,"068021","068022","068023","068024","068031","068035","068036","068037","068038",NA,NA,NA,NA,"1472","1486","1472","1494","1471","1471","1471","1471","1494",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"348","068033",187,"1471",13,2351,0,"068030","068034","068042","068625",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1471","1471","1471","1447",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"349","068034",223,"1471",13,2351,0,"068030","068031","068033","068035","068042","068618",NA,NA,NA,NA,NA,NA,NA,"1471","1471","1471","1471","1471","1471",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"350","068035",19,"1471",13,2351,0,"068031","068032","068034","068036","068037",NA,NA,NA,NA,NA,NA,NA,NA,"1471","1471","1471","1471","1471",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"351","068036",21,"1471",13,2351,0,"068032","068035","068037","068044",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1471","1471","1471","1471",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"352","068037",75,"1471",13,2351,0,"068032","068035","068036","068038","068044","068045",NA,NA,NA,NA,NA,NA,NA,"1471","1471","1471","1494","1471","1494",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"353","068038",239,"1494",12,2326,0,"068024","068025","068032","068037","068039","068044","068045",NA,NA,NA,NA,NA,NA,"1494","1494","1471","1471","1494","1471","1494",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"354","068039",115,"1494",12,2326,0,"068024","068025","068026","068038","068040","068045","068046",NA,NA,NA,NA,NA,NA,"1494","1494","1448","1494","1448","1494","1494",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"355","068040",111,"1448",9,2497,0,"068025","068026","068027","068039","068041","068045","068046","068047",NA,NA,NA,NA,NA,"1494","1448","1448","1494","1448","1494","1494","1494",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"356","068041",398,"1448",9,2497,0,"068026","068027","068040","068046","068047",NA,NA,NA,NA,NA,NA,NA,NA,"1448","1448","1448","1494","1494",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"357","068042",382,"1471",13,2351,0,"068033","068034","068617","068618","068625",NA,NA,NA,NA,NA,NA,NA,NA,"1471","1471","1454","1471","1447",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"358","068044",67,"1471",13,2351,0,"068036","068037","068038","068045","068051","068052","068053",NA,NA,NA,NA,NA,NA,"1471","1471","1494","1494","1471","1471","1494",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"359","068045",185,"1494",12,2326,0,"068037","068038","068039","068040","068044","068046","068052","068053","068054","068055",NA,NA,NA,"1471","1494","1494","1448","1471","1494","1471","1494","1494","1494",NA,NA,NA,NA,NA,NA,NA,NA,NA
"360","068046",94,"1494",12,2326,0,"068039","068040","068041","068045","068047","068055","068056",NA,NA,NA,NA,NA,NA,"1494","1448","1448","1494","1494","1494","1494",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"361","068047",302,"1494",12,2326,0,"068040","068041","068046","068055","068056",NA,NA,NA,NA,NA,NA,NA,NA,"1448","1448","1494","1494","1494",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"362","068051",227,"1471",13,2351,0,"068044","068052","068058","068617","068618","068902",NA,NA,NA,NA,NA,NA,NA,"1471","1471","1454","1454","1471","1454",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"363","068052",168,"1471",13,2351,0,"068044","068045","068051","068053","068058","068617","068902",NA,NA,NA,NA,NA,NA,"1471","1494","1471","1494","1454","1454","1454",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"364","068053",147,"1494",12,2326,0,"068044","068045","068052","068054","068055","068058","068902",NA,NA,NA,NA,NA,NA,"1471","1494","1471","1494","1494","1454","1454",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"365","068054",140,"1494",12,2326,0,"068045","068053","068055","068056","068058","068059",NA,NA,NA,NA,NA,NA,NA,"1494","1494","1494","1494","1454","1494",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"366","068055",127,"1494",12,2326,0,"068045","068046","068047","068053","068054","068056","068059",NA,NA,NA,NA,NA,NA,"1494","1494","1494","1494","1494","1494","1494",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"367","068056",447,"1494",12,2326,0,"068046","068047","068054","068055","068059","068902",NA,NA,NA,NA,NA,NA,NA,"1494","1494","1494","1494","1494","1454",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"368","068058",313,"1454",11,2491,0,"068051","068052","068053","068054","068059","068617","068902",NA,NA,NA,NA,NA,NA,"1471","1471","1494","1494","1494","1454","1454",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"369","068059",260,"1494",12,2326,0,"068054","068055","068056","068058","068902",NA,NA,NA,NA,NA,NA,NA,NA,"1494","1494","1494","1454","1454",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
